Order_ID,Customer_Name,Category,Sub_Category,City,Order_Date,Region,Sales,Discount,Profit,State,Order_Day,Order_Month,Order_Year
OD1,Harish,5,14,21,2017-08-11,2,1254,0.12,401.28,0,11,8,2017
OD2,Sudha,1,13,8,2017-08-11,3,749,0.18,149.8,0,11,8,2017
OD3,Hussain,3,0,13,2017-12-06,4,2360,0.21,165.2,0,6,12,2017
OD4,Jackson,4,12,4,2016-11-10,3,896,0.25,89.6,0,10,11,2016
OD5,Ridhesh,3,18,12,2016-11-10,3,2355,0.26,918.45,0,10,11,2016
OD6,Adavan,3,18,4,2015-09-06,4,2305,0.26,322.7,0,6,9,2015
OD7,Jonas,4,12,20,2015-09-06,4,826,0.33,346.92,0,6,9,2015
OD8,Hafiz,4,11,15,2015-09-06,4,1847,0.32,147.76,0,6,9,2015
OD9,Hafiz,0,1,19,2015-09-06,4,791,0.23,181.93,0,6,9,2015
OD10,Krithika,0,3,1,2015-09-06,4,1795,0.27,484.65,0,6,9,2015
OD11,Ganesh,6,5,7,2015-09-06,4,1903,0.13,437.69,0,6,9,2015
OD12,Yadav,2,9,11,2015-09-06,4,701,0.1,308.44,0,6,9,2015
OD13,Sharon,6,6,5,2018-04-15,3,1659,0.19,315.21,0,15,4,2018
OD14,Peer,4,12,6,2017-05-12,4,1277,0.25,63.85,0,12,5,2017
OD15,Sundar,2,4,6,2016-11-22,0,831,0.22,207.75,0,22,11,2016
OD16,Ramesh,5,8,8,2016-11-22,0,1440,0.11,100.8,0,22,11,2016
OD17,Alan,0,3,4,2015-11-11,0,1678,0.28,318.82,0,11,11,2015
OD18,Arutra,1,13,0,2015-05-13,4,1617,0.19,113.19,0,13,5,2015
OD19,Haseena,2,15,17,2015-08-27,4,1757,0.35,386.54,0,27,8,2015
OD20,Verma,1,21,6,2015-08-27,4,692,0.29,159.16,0,27,8,2015
OD21,Hafiz,1,13,21,2015-08-27,4,522,0.19,208.8,0,27,8,2015
OD22,Alan,3,7,7,2017-09-12,0,948,0.13,47.4,0,12,9,2017
OD23,Haseena,1,21,8,2017-09-12,0,707,0.34,148.47,0,12,9,2017
OD24,Alan,4,19,17,2018-07-16,1,969,0.29,77.52,0,16,7,2018
OD25,Sharon,2,9,12,2016-09-25,4,1100,0.11,495.0,0,25,9,2016
OD26,Krithika,6,5,19,2017-01-16,4,2022,0.11,202.2,0,16,1,2017
OD27,Muneer,6,6,20,2017-01-16,4,541,0.12,43.28,0,16,1,2017
OD28,Jackson,0,1,22,2016-09-17,1,979,0.22,401.39,0,17,9,2016
OD29,Veronica,1,21,8,2016-09-17,1,1988,0.22,874.72,0,17,9,2016
OD30,Shah,5,14,6,2016-09-17,1,989,0.17,69.23,0,17,9,2016
OD31,Ramesh,1,21,4,2016-09-17,1,1845,0.24,166.05,0,17,9,2016
OD32,Mathew,6,16,21,2016-09-17,1,1400,0.11,420.0,0,17,9,2016
OD33,Akash,5,8,20,2016-09-17,1,2163,0.26,670.53,0,17,9,2016
OD34,Anu,5,14,9,2016-09-17,1,1689,0.34,337.8,0,17,9,2016
OD35,Anu,1,13,21,2018-10-19,0,809,0.32,80.9,0,19,10,2018
OD36,Sabeela,2,9,19,2017-08-12,0,1265,0.22,569.25,0,12,8,2017
OD37,James,1,21,16,2017-08-12,0,934,0.35,56.04,0,12,8,2017
OD38,Willams,4,19,15,2016-12-27,0,1354,0.16,446.82,0,27,12,2016
